1,case1,0,0.0,76.0,114.0,103.0,113.0
2,case1,1,76.0,0.0,87.0,72.0,123.0
3,case1,2,114.0,87.0,0.0,88.0,59.0
4,case1,3,103.0,72.0,88.0,0.0,59.0
5,case1,4,113.0,123.0,59.0,59.0,0.0
1,case2,0,0.0,6265.0,6265.0,6265.0,6265.0
2,case2,1,6265.0,0.0,5923.0,5923.0,5923.0
3,case2,2,6265.0,5923.0,0.0,88.0,59.0
4,case2,3,6265.0,5923.0,88.0,0.0,59.0
5,case2,4,6265.0,5923.0,59.0,59.0,0.0
1,case3,0,0.0,5958.0,6742.0,6265.0,5958.0
2,case3,1,5958.0,0.0,6742.0,6265.0,79.0
3,case3,2,6742.0,6742.0,0.0,6742.0,6742.0
4,case3,3,6265.0,6265.0,6742.0,0.0,6265.0
5,case3,4,5958.0,79.0,6742.0,6265.0,0.0
1,case4,0,0.0,5923.0,5949.0,5918.0,6742.0
2,case4,1,5923.0,0.0,5949.0,5923.0,6742.0
3,case4,2,5949.0,5949.0,0.0,5949.0,6742.0
4,case4,3,5918.0,5923.0,5949.0,0.0,6742.0
5,case4,4,6742.0,6742.0,6742.0,6742.0,0.0
1,case5,0,0.0,6510.0,116.0,5737.0,6148.0
2,case5,1,6510.0,0.0,6626.0,6626.0,6626.0
3,case5,2,116.0,6626.0,0.0,5632.0,6148.0
4,case5,3,5737.0,6626.0,5632.0,0.0,6031.0
5,case5,4,6148.0,6626.0,6148.0,6031.0,0.0
